Battle of Blaauwberg,1806.0,33°45′22″S,18°27′56″E,United Kingdom,First French Empire
Battle of Red Cliffs,208.0,NaN,NaN,Sun Quan,Cao Cao
Battle of Hattin,1187.0,32°48′13″N,35°26′40″E,Kingdom of Jerusalem,Ayyubid Sultanate
Battle of Princeton,1777.0,40°19′48″N,74°40′30″W,United States,Great Britain
Battle of Brunanburh,937.0,NaN,NaN,Kingdom of England,Kingdom of Dublin
Battle of Belleau Wood,1918.0,49°04′23″N,3°17′24″E,United States,Germany
Battle of Changsha (1939),1.0,NaN,NaN,Republic of China,Empire of Japan
Battle of Chaldiran,1514.0,39°05′20″N,44°19′37″E,Ottoman Empire,Safavid Iran
Battle of the Hydaspes,-326.0,32°49′40″N,73°38′20″E,Macedonian Empire,Pauravas
Battle of Maritsa,1371.0,NaN,NaN,Serbian Empire,Ottoman Empire
Battle of Franklin,1864.0,35°55′03″N,86°52′24″W,United States,Confederate States
Battle of Jamrud,1837.0,34°00′12″N,71°22′43″E,Emirate of Kabul,Sikh Empire
Battle of Cable Street,,51°30′39″N,0°03′08″W,Ian Anderson,
Battle of Badon,1837.0,NaN,NaN,Romano-Britons,Anglo-Saxons
Battle of Poltava,1709.0,49°37′53″N,34°33′10″E,Swedish Empire,Tsardom of Russia
Battle of Kyiv (2022),2022.0,NaN,NaN,Russia,Ukraine
Battle of the Pyramids,1798.0,30°5′N,31°12′E,French Republic,Ottoman Empire
Battle of Cer,1914.0,NaN,NaN,Austria-Hungary,Serbia
Battle of Inchon,1950.0,NaN,NaN,Korea Strait,North Korea
First Battle of Panipat,1526.0,29°24′11″N,76°58′24″E,Mughal Empire,Delhi Sultanate
Battle of Rorke's Drift,1879.0,28°21′29″S,30°32′12″E,United Kingdom,Zulu Kingdom
Battle of Changsha (1941),2.0,NaN,NaN,Republic of China,Empire of Japan
Battle of Bakhmut,2022.0,48°35′N,38°0′E,Emergency special session,Ukraine
Battle of Karameh,1968.0,31°57′00″N,35°34′48″E,Israel,Jordan
Battle of Monmouth,1778.0,40°15′23″N,74°19′15″W,United States,Great Britain
Battle of Saint-Mihiel,1918.0,48°53′21″N,05°32′37″E,United States,German Empire
Battle of Zenta,1697.0,45°55′34″N,20°05′53″E,Pakrac clash,
Battle of Northern Burma and Western Yunnan,1945.0,22°50′N,97°08′E,United Kingdom,Thailand
Battle of South Henan,1.0,NaN,NaN,Republic of China,Empire of Japan
Battle of the Dnieper,1943.0,NaN,NaN,Soviet Union,Slovakia
Battle of Kosovo (1448),1448.0,NaN,NaN,Ottoman Empire,Kingdom of Hungary
Battle of Alcácer Quibir,1578.0,NaN,NaN,Spanish Empire,Sultanate of Morocco
Battle of Hürtgen Forest,1944.0,50°42′31″N,6°21′46″E,United States,Germany
Battle of Pratapgarh,,NaN,NaN,Bhonsle of Nagpur,
Battle of Peleliu,1944.0,7°00′N,134°15′E,United States,Japan
Battle of Gazala,1942.0,32°08′43″N,23°21′27″E,Italy,United Kingdom
Battle of Germantown,1777.0,40°01′26″N,75°09′35″W,Presidential library,United States
Battle of Vittorio Veneto,1918.0,45°57′21″N,12°20′49″E,Italy,Austria-Hungary
Battle of Preveza,1538.0,NaN,NaN,,Holy League:
Battle of Warsaw (1920),1920.0,52°18′N,20°49′E,16th Army,Russian SFSR
Battle of the River Plate,1939.0,32°S,47°W,United Kingdom,Germany
Battle of al-Hasakah (2022),2022.0,36°28′39″N,40°45′45″E,Rojava,Islamic State
Battle of Tabqa,2017.0,35°50′12″N,38°32′53″E,Syrian Democratic Forces,Islamic State
Battle of Somosierra,1808.0,41°09′N,3°35′W,France,Spain
Battle of the Frontiers,1914.0,49°00′N,06°00′E,France,Germany
Battle of Glenmama,999.0,53°16′48″N,06°31′30″W,Kingdom of Meath,Kingdom of Leinster
Battle of Plataea,-479.0,38°13′N,23°17′E,Greek,Achaemenid Empire
Battle of Kolubara,1914.0,NaN,NaN,Serbia,Austria-Hungary
Battle of West Hunan,3.0,NaN,NaN,Tunisia,
Battle of Salamanca,1812.0,40°53′21″N,05°37′29″W,French Empire,United Kingdom
Battle of al-Yaarubiyah,2013.0,36°48′42″N,42°03′59″E,Russian-Turkish agreement on Syria,Al-Nusra Front
Battle of Mohács (1687),1687.0,NaN,NaN,Holy Roman Empire,Ottoman Empire
Battle of Paris (1814),1814.0,48°51′24″N,2°21′06″E,France,Russia
Battle of Rivoli,1797.0,45°34′00″N,10°49′00″E,French Republic,Habsburg monarchy
Battle of Dutch Harbor,1942.0,53°53′15″N,166°32′32″W,Frampol,Japan
Battle of Savo Island,1942.0,9°8′S,159°49′E,Japan,United States
Battle of Vrbanja Bridge,1995.0,43°51′12″N,18°24′23″E,Army of Republika Srpska,UNPROFOR
Battle of Sarikamish,1915.0,40°20′17″N,42°34′23″E,Capture of Baghdad,Ottoman Empire
Battle of Slankamen,1691.0,45°08′23.64″N,20°15′35.64″E,Holy Roman Empire,Ottoman Empire
Battle of Nördlingen (1634),1634.0,48°48′20″N,10°29′09″E,Spain,Sweden
Battle of Corunna,1809.0,43°21′46″N,8°24′17″W,United Kingdom,France
Battle of Mobile Bay,1864.0,NaN,NaN,United States,Confederate States
Battle of Khe Sanh,1968.0,16°39′19.6″N,106°43′42.9″E,United States,Viet Cong
Battle of Yarmouk Camp (2015),2015.0,NaN,NaN,al-Nusra Front,Jaysh al-Islam
Battle of Worcester,1651.0,52°11′19″N,2°13′15″W,England,Scotland
Battle of Fort Donelson,1862.0,36°29′35″N,87°51′22″W,United States,Confederate States
Battle of San Juan Hill,1898.0,20°01′15″N,75°47′58″W,United States,Spain
Battle of Baltimore,1814.0,39°15′48″N,76°34′47″W,United States,United Kingdom
Battle of Baghuz Fawqani,2019.0,34°27′37″N,40°57′13″E,Syrian Democratic Forces,Islamic State
Battle of Dürenstein,1805.0,48°23′14″N,15°31′13″E,France,Russia
Battle of Kadesh,-1274.0,NaN,NaN,New Kingdom of Egypt,Hittite Empire
Battle of Narva (1944),1944.0,59°23′N,28°12′E,Tunisia,Soviet Union
Battle of Cowpens,1781.0,NaN,NaN,United States,Great Britain
Battle of Saint-Malo,1944.0,48°38′53″N,2°00′27″W,United States,Italian Social Republic
Battle of Qamishli (2016),2016.0,37°3′0″N,41°13′0″E,Democratic Federation of Northern Syria,Syrian Arab Republic
Battle of Jericho,,31°52′16″N,35°26′38″E,Israelites,Canaanites
Battle of Valmy,1792.0,49°04′49″N,04°46′02″E,Kingdom of France,Kingdom of Prussia
Battle of Vimeiro,1808.0,39°10′30″N,9°19′0″W,French Empire,United Kingdom
Battle of Megiddo (1918),1918.0,32°24′00″N,34°52′59″E,Hejaz,Ottoman Empire
Battle of the Eastern Solomons,1942.0,NaN,NaN,Tunisia,Japan
Battle of Chingleput,1752.0,NaN,NaN,British East India Company,French East India Company
Battle of Ras al-Ayn (2012–13),2012.0,NaN,NaN,Russian-Turkish agreement on Syria,Syrian Arab Republic
Battle of Donbas (2022),2022.0,NaN,NaN,Russia,Ukraine
Battle of Chamkaur,1705.0,NaN,NaN,Bhai Nand Lal,Khalsa
The Battle of Algiers,,NaN,NaN,Franco Solinas,
Battle of Marinka (2022–present),2022.0,NaN,NaN,Russia,Ukraine
Battle of Las Navas de Tolosa,1211.0,38°17′04″N,3°34′58″W,Kingdom of Castile,Almohad Caliphate
Battle of Tell Hamis and Tell Brak (2013–2014),2014.0,36°45′31″N,41°23′56″E,Russian-Turkish agreement on Syria,Islamic State of Iraq and the Levant
Battle of Blair Mountain,2014.0,37°51′45″N,81°51′23″W,Appalachian English,
Battle of Hunayn,630.0,21°26′N,40°21′E,Muslims,Qays
Battle of Blair Mountain,2012.0,37°51′45″N,81°51′23″W,Appalachian English,
Battle of Raqqa (2013),2013.0,35°57′00″N,39°01′00″E,Al-Nusra Front,Syrian Arab Republic
Battle of Gospić,1991.0,NaN,NaN,Yugoslavia,Croatia
Second Battle of the Masurian Lakes,1915.0,NaN,NaN,German Empire,Russian Empire
Battle of Blenheim,13.0,48°38′42″N,10°36′0″E,Grand Alliance,France
Battle of Qamishli (2021),2021.0,NaN,NaN,Autonomous Administration of North and East Syria,Syrian Arab Republic
Battle of Vila Franca do Campo,1582.0,NaN,NaN,Spanish Empire,Portuguese
First Battle of Sha'ir,2014.0,NaN,NaN,Islamic State of Iraq and the Levant,Syrian Arab Republic
Battle of Cape Fear River (1718),1718.0,33°53′8″N,78°0′46″W,South Carolina,Pirates
Battle of al-Qaryatayn (2015),2015.0,34°14′00″N,37°14′00″E,Russian-Turkish agreement on Syria,
Battle of Borneo (1941–1942),1942.0,NaN,NaN,Japan,United Kingdom
